
Host: cortex

Timers On : Fri Aug 20 18:29:37 2021
Timers Off: Fri Aug 20 18:29:41 2021

Wall Time:        3.76 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
| DFH: AO Construction              :      0.133u      0.017s      0.088w      1 calls
| DFH: AO-Met. Contraction          :      0.050u      0.000s      0.024w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.011w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.517u      0.117s      0.365w      1 calls
| SAD Guess                         :      0.517u      0.117s      0.364w      1 calls
HF: Form G                          :      3.233u      0.017s      1.911w      9 calls
| RV: Form V                        :      3.117u      0.017s      1.845w      9 calls
| | Properties                      :      1.067u      0.000s      0.478w   7812 calls
| | Functional                      :      1.150u      0.000s      0.730w   7812 calls
| | V_xc                            :      0.883u      0.017s      0.622w   7812 calls
| JK: D                             :      0.000u      0.000s      0.000w      9 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      9 calls
| JK: JK                            :      0.117u      0.000s      0.065w      9 calls
| | DFH: compute_JK()               :      0.117u      0.000s      0.065w      9 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      9 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.009w      9 calls
| | | DFH: compute_K                :      0.100u      0.000s      0.053w      9 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.000u      0.000s      0.007w      8 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.001w      8 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.001w      8 calls
| | bMatrix setup                   :      0.000u      0.000s      0.000w      8 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.000w      8 calls
| | New vector                      :      0.000u      0.000s      0.000w      8 calls
HF: Form C                          :      0.000u      0.000s      0.005w      8 calls

**************************************************************************************

Host: cortex

Timers On : Fri Aug 20 18:34:07 2021
Timers Off: Fri Aug 20 18:34:11 2021

Wall Time:        4.51 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.117u      0.017s      0.069w      1 calls
DFH: sparsity prep                  :      0.417u      0.033s      0.272w      1 calls
Libint2ERI::Libint2ERI              :      0.550u      0.050s      0.365w      3 calls
DFH: initialize()                   :      0.533u      0.033s      0.331w      1 calls
DFH: AO Construction                :      0.150u      0.000s      0.087w      1 calls
DFH: AO-Met. Contraction            :      0.033u      0.017s      0.028w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.011w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.533u      0.083s      0.369w      1 calls
SAD Guess                           :      0.533u      0.083s      0.367w      1 calls
HF: Form G                          :      3.367u      0.050s      2.030w      9 calls
RV: Form V                          :      3.233u      0.050s      1.961w      9 calls
Properties                          :      0.883u      0.033s      0.522w   7812 calls
Functional                          :      1.267u      0.017s      0.769w   7812 calls
V_xc                                :      1.033u      0.000s      0.653w   7812 calls
JK: D                               :      0.000u      0.000s      0.000w      9 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      9 calls
JK: JK                              :      0.133u      0.000s      0.068w      9 calls
DFH: compute_JK()                   :      0.133u      0.000s      0.068w      9 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      9 calls
DFH: compute_J                      :      0.017u      0.000s      0.010w      9 calls
DFH: compute_K                      :      0.117u      0.000s      0.056w      9 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      9 calls
HF: Form F                          :      0.000u      0.000s      0.000w      9 calls
HF: Form D                          :      0.000u      0.000s      0.000w      9 calls
HF: DIIS                            :      0.000u      0.017s      0.007w      8 calls
DIISManager::add_entry              :      0.000u      0.017s      0.001w      8 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.001w      8 calls
bMatrix setup                       :      0.000u      0.000s      0.000w      8 calls
